爱	ài
八	bā
把	bǎ
爸爸	bàba
吧	ba
白	bái
百	bǎi
半	bàn
帮助	bāngzhù
包子	bāozi
饱	bǎo
杯子	bēizi
北京	Běijīng
本	běn
鼻子	bízi
比	bǐ
别	bié
不客气	bú kèqi
不	bù
菜	cài
茶	chá
长	cháng
唱歌	chànggē
车站	chēzhàn
吃	chī
迟到	chídào
出	chū
穿	chuān
次	cì
打电话	dǎ diànhuà
打篮球	dǎ lánqiú
大	dà
蛋糕	dàngāo
但是	dànshì
当然	dāngrán
的	de
得	de
弟弟	dìdi
第一	dì-yī
点	diǎn
电脑	diànnǎo
电视	diànshì
电影	diànyǐng
丢	diū
东西	dōngxi
懂	dǒng
动物园	dòngwùyuán
都	dōu
读	dú
对	duì
对不起	duìbuqǐ
多	duō
多少	duōshao
饿	è
耳朵	ěrduo
二	èr
房间	fángjiān
飞机	fēijī
分钟	fēnzhōng
感冒	gǎnmào
高	gāo
高兴	gāoxìng
哥哥	gēge
个	gè
个子	gèzi
给	gěi
公共汽车	gōnggòngqìchē
狗	gǒu
刮风	guā fēng
关	guān
果汁	guǒzhī
过	guo
还	hái
汉语	Hànyǔ
好	hǎo
好吃	hǎochī
号	hào
喝	hē
和	hé
黑	hēi
很	hěn
红	hóng
猴子	hóuzi
后	hòu
画	huà
坏	huài
欢迎	huānyíng
黄	huáng
回	huí
会	huì
鸡蛋	jīdàn
几	jǐ
家	jiā
件	jiàn
脚	jiǎo
饺子	jiǎozi
叫	jiào
教室	jiàoshì
姐姐	jiějie
今天	jīntiān
进	jìn
近	jìn
九	jiǔ
就	jiù
觉得	juéde
开	kāi
看	kàn
可爱	kě'ài
可以	kěyǐ
课	kè
口	kǒu
哭	kū
裤子	kùzi
块	kuài
快	kuài
快乐	kuàilè
来	lái
蓝	lán
老虎	lǎohǔ
老师	lǎoshī
了	le
累	lèi
冷	lěng
里面	lǐmiàn
礼物	lǐwù
两	liǎng
零	líng
六	liù
绿	lǜ
妈妈	māma
吗	ma
买	mǎi
卖	mài
慢	màn
忙	máng
猫	māo
没关系	méi guānxi
没有	méiyǒu
玫瑰花	méiguihuā
每	měi
妹妹	mèimei
米饭	mǐfàn
面包	miànbāo
面条	miàntiáo
明天	míngtiān
名字	míngzi
拿	ná
哪	nǎ
哪儿	nǎr
那	nà
那儿	nàr
奶奶	nǎinai
男	nán
难	nán
呢	ne
能	néng
你	nǐ
年	nián
年级	niánjí
鸟	niǎo
您	nín
牛奶	niúnǎi
女	nǚ
旁边	pángbiān
胖	pàng
跑步	pǎobù
朋友	péngyou
漂亮	piàoliang
苹果	píngguǒ
七	qī
起床	qǐchuáng
千	qiān
铅笔	qiānbǐ
前	qián
钱	qián
请	qǐng
去	qù
去年	qùnián
裙子	qúnzi
让	ràng
热	rè
认识	rènshi
三	sān
商店	shāngdiàn
上边	shàngbian
上网	shàngwǎng
少	shǎo
谁	shéi
身体	shēntǐ
什么	shénme
生病	shēngbìng
生日	shēngrì
十	shí
时候	shíhou
时间	shíjiān
是	shì
事情	shìqing
手	shǒu
瘦	shòu
书包	shūbāo
舒服	shūfu
水	shuǐ
水果	shuǐguǒ
睡觉	shuìjiào
说话	shuōhuà
四	sì
送	sòng
岁	suì
所以	suǒyǐ
他	tā
她	tā
它	tā
太	tài
太阳	tàiyáng
疼	téng
踢足球	tī zúqiú
天气	tiānqì
跳舞	tiàowǔ
听	tīng
同学	tóngxué
头发	tóufa
外面	wàimiàn
完	wán
玩	wán
晚上	wǎnshang
喂	wèi
为什么	wèi shénme
问	wèn
问题	wèntí
我	wǒ
我们	wǒmen
五	wǔ
西瓜	xīguā
喜欢	xǐhuan
洗澡	xǐzǎo
下	xià
下雪	xià xuě
先生	xiānsheng
现在	xiànzài
香蕉	xiāngjiāo
想	xiǎng
小	xiǎo
小姐	xiǎojiě
小时	xiǎoshí
笑	xiào
些	xiē
鞋	xié
写	xiě
谢谢	xièxie
新	xīn
星期	xīngqī
熊猫	xióngmāo
休息	xiūxi
学生	xuésheng
学习	xuéxí
学校	xuéxiào
颜色	yánsè
眼睛	yǎnjing
药	yào
要	yào
爷爷	yéye
也	yě
一	yī
衣服	yīfu
医生	yīshēng
医院	yīyuàn
椅子	yǐzi
一起	yìqǐ
意思	yìsi
因为	yīnwèi
游泳	yóuyǒng
有	yǒu
右	yòu
鱼	yú
雨伞	yǔsǎn
远	yuǎn
月	yuè
月亮	yuèliang
运动	yùndòng
在	zài
再	zài
再见	zàijiàn
早上	zǎoshang
怎么	zěnme
怎么样	zěnmeyàng
着急	zháojí
找	zhǎo
这	zhè
这儿	zhèr
真	zhēn
只	zhī
知道	zhīdào
中国人	Zhōngguórén
中午	zhōngwǔ
桌子	zhuōzi
自己	zìjǐ
自行车	zìxíngchē
走	zǒu
最	zuì
昨天	zuótiān
左	zuǒ
坐	zuò
做	zuò
